decimalLatitude,decimalLongitude,UI,Birds,Visitors,Azimut_t,Temperature,Dureza,Wrack,Grain_size,Salinity,slope,Beach_width,Swash,S_total,pH,campaign,month,locality,site,zone
20.850286,-90.40372,0.26,0,0,-63,29.566666666666666,220,15.9,0.341067884013857,40.666666666666664,2.4,27.4,1.3200000000000003,2.8,7.383333333333333,2,Apr,Celestun,1,Dry
20.852893,-90.40371,0.26,0,3,-63,29.5,253.33333333333334,63.099999999999994,0.43184213276851197,21.333333333333332,2.5,29.3,0.2,3.1,7.293333333333333,3,Aug,Celestun,1,Dry
20.852833,-90.40361,0.26,0,0,-63,,,317.35,0.506551562220631,36,3.3,23.6,0.956,5,,1,Nov,Celestun,1,Dry
20.852833,-90.40361,0.26,0,0,-63,,,317.35,0.5562,36,7,23.6,0.956,5,,1,Nov,Celestun,1,Wet
20.850286,-90.40372,0.26,0,0,-63,31.033333333333335,180,15.9,0.372636261847971,40,4.2,27.4,1.3200000000000003,2.8,7.523333333333333,2,Apr,Celestun,1,Wet
20.852893,-90.40371,0.26,0,3,-63,28.1,233.33333333333334,63.099999999999994,0.556721418743916,37.333333333333336,5.5,29.3,0.2,3.1,7.53,3,Aug,Celestun,1,Wet
20.862388,-90.40025,0.63,0,5,-68,29.166666666666668,303.3333333333333,16.4,0.333449674679121,12.666666666666666,1.9,45.3,2.29,2.1,7.333333333333333,2,Apr,Celestun,2,Dry
20.862379,-90.40025,0.63,16,7,-68,29.5,340,47.400000000000006,0.253881936200689,10,1.8,44,0.29999999999999993,2.4,7.6433333333333335,3,Aug,Celestun,2,Dry
20.862333,-90.40042,0.63,11,5,-68,,,374.1166666666666,0.486934295025815,35,1.9,37.8,2.49,3.1,,1,Nov,Celestun,2,Dry
20.862388,-90.40025,0.63,0,5,-68,29.1,220,16.4,0.370657577881499,41,4,45.3,2.29,2.1,7.566666666666666,2,Apr,Celestun,2,Wet
20.862333,-90.40042,0.63,11,5,-68,,,374.1166666666666,0.539711279786266,35,6.3,37.8,2.49,3.1,,1,Nov,Celestun,2,Wet
20.862379,-90.40025,0.63,16,7,-68,30.6,103.33333333333333,47.400000000000006,0.5598061037709791,37.666666666666664,5.7,44,0.29999999999999993,2.4,7.74,3,Aug,Celestun,2,Wet
20.876888,-90.39308,0.29,0,0,-75,30.866666666666667,263.3333333333333,16.7,0.25034818680974397,44,4,17,2.8600000000000003,4.4,7.216666666666667,2,Apr,Celestun,3,Dry
20.879811,-90.39206,0.29,0,0,-75,31.2,220,302.79999999999995,0.318175066264101,35,3.7,25.4,0.29999999999999993,4.5,7.406666666666667,3,Aug,Celestun,3,Dry
20.879888,-90.39228,0.29,0,0,-75,,,434.90000000000003,0.437183235391927,35,2.9,27.2,3.14,4.7,,1,Nov,Celestun,3,Dry
20.879888,-90.39228,0.29,0,0,-75,,,434.90000000000003,0.629836656797901,35,7.7,27.2,3.14,4.7,,1,Nov,Celestun,3,Wet
20.876888,-90.39308,0.29,0,0,-75,30.3,190,16.7,0.375061010544759,41,4.4,17,2.8600000000000003,4.4,7.48,2,Apr,Celestun,3,Wet
20.879811,-90.39206,0.29,0,0,-75,31.6,183.33333333333334,302.79999999999995,0.578563700913987,35.666666666666664,7.8,25.4,0.29999999999999993,4.5,7.536666666666667,3,Aug,Celestun,3,Wet
20.891444,-90.38944,0.11,0,0,-75,30.366666666666667,216.66666666666666,15.7,0.339268475558734,44.333333333333336,2.8,21.5,3.5200000000000005,3.3,7.266666666666667,2,Apr,Celestun,4,Dry
20.89578,-90.3879,0.11,0,0,-75,33.166666666666664,223.33333333333334,79,0.287599715240977,34,3.7,24,0.29999999999999993,4.2,7.45,3,Aug,Celestun,4,Dry
20.895694,-90.38794,0.11,18,0,-75,,,73.91666666666667,0.382967210157244,33,2.4,21.7,3.2,4,,1,Nov,Celestun,4,Dry
20.895694,-90.38794,0.11,18,0,-75,,,73.91666666666667,0.545979695389727,33,7,21.7,3.2,4,,1,Nov,Celestun,4,Wet
20.891444,-90.38944,0.11,0,0,-75,31.4,143.33333333333334,15.7,0.456691799161885,27.333333333333332,4.5,21.5,3.5200000000000005,3.3,7.613333333333333,2,Apr,Celestun,4,Wet
20.89578,-90.3879,0.11,0,0,-75,33.766666666666666,100,79,0.45556273958096,36.666666666666664,5.3,24,0.29999999999999993,4.2,7.609999999999999,3,Aug,Celestun,4,Wet
21.165861,-90.04294,0.23,5,0,2,27.533333333333335,290,32.4,0.404666578136276,27.333333333333332,0.2,41.9,3.1050000000000004,1.6,7.216666666666667,2,Apr,Sisal,1,Dry
21.165865,-90.04287,0.23,0,2,2,28.233333333333334,196.66666666666666,285.9,0.44571209222987,18.666666666666668,1,55,3.0600000000000005,1.6,7.390000000000001,3,Aug,Sisal,1,Dry
21.16575,-90.04322,0.23,0,1,2,,,20.166666666666668,0.5267393264168659,34,0.9,36.4,5.3500000000000005,1.7,,1,Nov,Sisal,1,Dry
21.165861,-90.04294,0.23,5,0,2,26.933333333333334,166.66666666666666,32.4,0.403229699569789,41,6.1,41.9,3.1050000000000004,1.6,7.633333333333334,2,Apr,Sisal,1,Wet
21.165865,-90.04287,0.23,0,2,2,28.266666666666666,73.33333333333333,285.9,0.477051931615878,35.666666666666664,2.6,55,3.0600000000000005,1.6,7.6433333333333335,3,Aug,Sisal,1,Wet
21.16575,-90.04322,0.23,0,1,2,,,20.166666666666668,0.755906247379208,34,5.9,36.4,5.3500000000000005,1.7,,1,Nov,Sisal,1,Wet
21.1675,-90.03058,0.54,0,48,-14,28.266666666666666,290,64.3,0.41785412160892704,9.666666666666666,1.2,34.8,3.94,2.3,7.61,2,Apr,Sisal,2,Dry
21.167659,-90.03032,0.54,8,27,-14,30.2,276.6666666666667,157.79999999999998,0.395290185731519,10.666666666666666,2,50,3.3499999999999996,2.1,7.45,3,Aug,Sisal,2,Dry
21.1675,-90.03019,0.54,17,5,-14,,,267.1333333333333,0.425376407800875,23,0.9,30.2,5.7700000000000005,2.4,,1,Nov,Sisal,2,Dry
21.1675,-90.03058,0.54,0,48,-14,28.633333333333333,136.66666666666666,64.3,0.41544281720874,38.333333333333336,3.5,34.8,3.94,2.3,7.496666666666666,2,Apr,Sisal,2,Wet
21.167659,-90.03032,0.54,8,27,-14,29.6,83.33333333333333,157.79999999999998,0.47174629986292,35.333333333333336,3.5,50,3.3499999999999996,2.1,7.723333333333334,3,Aug,Sisal,2,Wet
21.1675,-90.03019,0.54,17,5,-14,,,267.1333333333333,0.328801335176717,23,5.1,30.2,5.7700000000000005,2.4,,1,Nov,Sisal,2,Wet
21.169833,-90.01836,0.2,0,17,-20,29.96666666666667,176.66666666666666,89.3,0.331770003827105,12,10.6,12,2.81,7.9,7.52,2,Apr,Sisal,3,Dry
21.169983,-90.01832,0.2,0,0,-20,32.4,220,256.7,0.48765727115637597,8.666666666666666,8.1,16.6,2.85,6.9,7.506666666666667,3,Aug,Sisal,3,Dry
21.169916,-90.01808,0.2,0,0,-20,,,126.63333333333334,0.369149060128038,16,6.1,13,5.449999999999999,7.4,,1,Nov,Sisal,3,Dry
21.169833,-90.01836,0.2,0,17,-20,30.466666666666665,130,89.3,0.374669164716556,39.333333333333336,4,12,2.81,7.9,7.4366666666666665,2,Apr,Sisal,3,Wet
