muestra,PAN,#325,#270,#230,#200,#170,#140,#120,#100,#80,#70,#60,#50,#45,#40,#35,#30,#25,#20,#18,#16,#14,#12,#10,#8,#7,> #6,localidad,muestreo,sitio,zona
Cel 20-11-1DGran.xle,0.01,0.01,0.02,0.04,0.16,0.46,1.14,2.29,3.50,4.35,5.12,6.94,7.34,8.89,8.93,10.69,9.00,8.12,6.45,4.92,3.94,3.51,2.31,1.24,0.51,0.11,0.00,Cel,20-11,1,D
Cel 20-11-2DGran.xle,0.01,0.00,0.02,0.03,0.09,0.20,0.48,0.97,1.61,2.63,3.97,7.16,9.37,12.57,12.84,14.72,11.02,8.85,5.37,3.13,2.01,1.67,0.82,0.36,0.10,0.00,0.00,Cel,20-11,2,D
Cel 20-11-2SGran.xle,0.00,0.00,0.01,0.00,0.01,0.04,0.11,0.36,0.92,1.78,3.39,6.26,8.26,11.24,11.68,13.52,10.86,9.69,6.75,4.98,4.04,3.21,1.79,0.96,0.14,0.00,0.00,Cel,20-11,2,S
Cel 20-11-3DGran.xle,0.01,0.01,0.01,0.02,0.08,0.26,0.82,2.19,4.15,5.52,6.93,8.82,8.90,10.04,9.74,11.58,9.28,7.95,5.44,3.56,2.09,1.33,0.78,0.41,0.08,0.00,0.00,Cel,20-11,3,D
Cel 20-11-3SGran.xle,0.01,0.01,0.02,0.02,0.08,0.25,0.69,1.69,2.69,3.45,4.05,5.51,5.85,7.18,7.05,8.56,8.76,8.87,7.51,7.25,6.28,5.39,3.56,2.48,1.03,1.08,0.68,Cel,20-11,3,S
Cel 20-11-4DGran.xle,0.00,0.01,0.00,0.01,0.02,0.06,0.22,0.68,1.79,3.92,6.97,12.92,15.45,17.28,13.27,10.40,6.49,4.23,2.27,1.35,0.98,0.77,0.41,0.27,0.17,0.01,0.05,Cel,20-11,4,D
Cel 20-11-4SGran.xle,0.00,0.01,0.00,0.01,0.03,0.07,0.24,0.66,1.28,1.89,2.87,4.94,7.24,11.11,12.15,14.83,11.37,9.47,6.31,5.59,4.03,3.18,1.78,0.78,0.16,0.00,0.00,Cel,20-11,4,S
Cel 21-04-1DGran.xle,0.01,0.01,0.02,0.04,0.14,0.43,1.21,2.87,4.96,6.79,8.95,13.12,14.53,15.67,11.71,9.01,4.77,2.51,1.41,0.84,0.50,0.36,0.11,0.01,0.02,0.00,0.00,Cel,21-04,1,D
Cel 21-04-1SGran.xle,0.03,0.01,0.03,0.05,0.21,0.60,1.60,3.71,6.12,7.30,8.56,9.99,9.02,9.23,7.54,7.18,5.63,5.39,4.24,3.61,3.10,2.78,1.33,0.72,0.44,0.56,1.02,Cel,21-04,1,S
Cel 21-04-2DGran.xle,0.03,0.03,0.08,0.22,0.79,2.16,4.55,6.97,7.92,7.45,7.50,7.79,6.84,6.98,6.63,7.47,6.22,6.16,4.30,3.77,2.25,1.94,1.19,0.58,0.18,0.00,0.00,Cel,21-04,2,D
Cel 21-04-2SGran.xle,0.02,0.02,0.03,0.12,0.48,1.58,3.95,7.19,8.22,7.04,6.36,6.73,6.31,7.25,7.01,8.76,7.64,7.02,5.31,3.93,2.53,1.65,0.62,0.17,0.02,0.04,0.00,Cel,21-04,2,S
Cel 21-04-3DGran.xle,0.04,0.02,0.04,0.10,0.41,1.49,4.28,9.20,12.08,11.66,10.59,11.14,9.52,8.72,6.17,4.77,3.01,2.08,1.34,0.97,0.71,0.65,0.37,0.19,0.30,0.15,0.00,Cel,21-04,3,D
Cel 21-04-3SGran.xle,0.02,0.01,0.02,0.03,0.09,0.24,0.73,2.10,4.13,5.71,7.97,11.30,12.63,14.85,12.20,10.33,6.37,4.53,2.52,1.32,1.00,0.82,0.31,0.23,0.30,0.14,0.10,Cel,21-04,3,S
Cel 21-04-4DGran.xle,0.02,0.01,0.02,0.05,0.21,0.66,1.87,4.25,6.64,8.05,9.17,11.13,10.45,10.46,8.62,7.50,5.91,4.64,3.02,2.10,1.86,1.48,0.92,0.47,0.26,0.23,0.00,Cel,21-04,4,D
Cel 21-04-4SGran.xle,0.01,0.01,0.00,0.03,0.10,0.30,0.92,2.41,4.19,5.33,6.33,8.02,8.52,9.67,8.66,8.73,6.82,6.66,5.22,4.28,3.80,3.32,2.28,1.53,0.89,0.58,1.39,Cel,21-04,4,S
Cel 21-08-1DGran.xle,0.05,0.02,0.03,0.06,0.18,0.48,1.23,2.67,4.44,5.74,7.04,8.94,8.86,9.04,7.65,7.45,5.13,4.56,3.21,3.08,2.17,1.80,1.38,1.52,1.01,1.64,10.62,Cel,21-08,1,D
Cel 21-08-1SGran.xle,0.01,0.01,0.02,0.06,0.22,0.65,1.53,2.73,3.45,3.58,4.01,5.31,6.06,7.88,8.21,10.15,9.02,9.19,8.05,7.05,5.04,3.97,2.16,1.32,0.32,0.00,0.00,Cel,21-08,1,S
Cel 21-08-2DGran.xle,0.02,0.02,0.06,0.25,1.16,3.45,7.32,10.82,10.51,8.68,7.10,6.82,5.43,5.52,4.98,5.71,5.50,5.23,4.12,3.04,2.18,1.39,0.52,0.16,0.01,0.00,0.00,Cel,21-08,2,D
